name	parent_name	type	size
unixccompiler.py	_distutils	file	15641
util.py	_distutils	file	18128
version.py	_distutils	file	12952
versionpredicate.py	_distutils	file	5248
_collections.py	_distutils	file	1330
_functools.py	_distutils	file	411
_macos_compat.py	_distutils	file	239
_msvccompiler.py	_distutils	file	19672
__init__.py	_distutils	file	537
bdist.py	command	file	5441
bdist_dumb.py	command	file	4701
bdist_rpm.py	command	file	22051
build.py	command	file	5617
build_clib.py	command	file	7728
build_ext.py	command	file	31558
build_py.py	command	file	16568
build_scripts.py	command	file	5624
check.py	command	file	4888
clean.py	command	file	2603
config.py	command	file	13137
install.py	command	file	30221
install_data.py	command	file	2779
install_egg_info.py	command	file	2785
install_headers.py	command	file	1189
install_lib.py	command	file	8434
install_scripts.py	command	file	1936
py37compat.py	command	file	672
register.py	command	file	11765
sdist.py	command	file	19241
upload.py	command	file	7477
_framework_compat.py	command	file	1614
__init__.py	command	file	430
importlib_metadata	_vendor	dir	42846
importlib_resources	_vendor	dir	25123
jaraco	_vendor	dir	34449
more_itertools	_vendor	dir	134297
packaging	_vendor	dir	96322
pyparsing	_vendor	dir	369986
tomli	_vendor	dir	26226
ordered_set.py	_vendor	file	15130
typing_extensions.py	_vendor	file	87149
zipp.py	_vendor	file	8425
__init__.py	_vendor	file	0
_adapters.py	importlib_metadata	file	1862
_collections.py	importlib_metadata	file	743
_compat.py	importlib_metadata	file	1828
_functools.py	importlib_metadata	file	2895
_itertools.py	importlib_metadata	file	2068
_meta.py	importlib_metadata	file	1154
_text.py	importlib_metadata	file	2166
__init__.py	importlib_metadata	file	30130
abc.py	importlib_resources	file	3886
readers.py	importlib_resources	file	3566
simple.py	importlib_resources	file	2836
_adapters.py	importlib_resources	file	4504
_common.py	importlib_resources	file	2741
_compat.py	importlib_resources	file	2706
_itertools.py	importlib_resources	file	884
_legacy.py	importlib_resources	file	3494
__init__.py	importlib_resources	file	506
text	jaraco	dir	15517
context.py	jaraco	file	5420
functools.py	jaraco	file	13512
__init__.py	jaraco	file	0
__init__.py	text	file	15517
more.py	more_itertools	file	117959
recipes.py	more_itertools	file	16256
__init__.py	more_itertools	file	82
markers.py	packaging	file	8493
requirements.py	packaging	file	4700
specifiers.py	packaging	file	30110
tags.py	packaging	file	15699
utils.py	packaging	file	4200
version.py	packaging	file	14665
_manylinux.py	packaging	file	11488
_musllinux.py	packaging	file	4378
_structures.py	packaging	file	1431
__about__.py	packaging	file	661
__init__.py	packaging	file	497
diagram	pyparsing	dir	23668
